theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,345.0,-7694.807720141302,4101.652587658641,-8135.488598805253,8494.199311293081,1970.3293785103922,8135.488598805253
newton,2.0,0.25,350.0,-7808.525073479623,3742.91937258496,-8177.0864663711545,8339.847160156583,2330.1198677449875,8177.0864663711545
newton,2.0,0.25,355.0,-8112.65702024527,4014.4005330247637,-8958.591803376457,8431.663971147485,3292.059878759466,8958.591803376457
newton,3.0,0.25,0.0,-11167.850017855846,3008.776993093372,-8235.242560991086,11167.850017855846,3008.776993093372,8235.242560991086
newton,3.0,0.25,5.0,-12651.275252925463,687.3414765071279,-9025.223590660189,12543.227574157401,1787.3572260487385,9025.223590660189
newton,3.0,0.25,10.0,-11961.547778019281,-2925.428873848139,-9920.634475522062,12287.820382657288,-803.8840621224522,9920.634475522062
newton,3.0,0.25,15.0,-11818.334022696577,-7721.520425819181,-8869.363530377806,13414.110599583531,-4399.60607106035,8869.363530377806
newton,3.0,0.25,20.0,-10561.740462687138,-8492.562439143887,-6540.68364383821,12829.416998081233,-4368.0702688103165,6540.68364383821
newton,3.0,0.25,25.0,-8479.046768476468,-7934.257974117684,-5941.570102471071,11037.788426142066,-3607.4797797888723,5941.570102471071
newton,3.0,0.25,30.0,-7353.745604608201,-7577.710425856705,-4942.435104240838,10157.38571948721,-2885.616929010004,4942.435104240838
newton,3.0,0.25,35.0,-7237.987938802786,-7023.328647799914,-4964.571466430016,9957.428433736653,-1601.6346912683848,4964.571466430016
newton,3.0,0.25,40.0,-5754.503597741761,-7922.145236219805,-4600.3371372938245,9500.462303937577,-2369.7917232626482,4600.3371372938245
newton,3.0,0.25,45.0,-5591.103467792186,-7170.364908274164,-4221.532714455236,9023.720826614195,-1116.706473831242,4221.532714455236
newton,3.0,0.25,50.0,-4019.62056281049,-6895.992845346134,-4119.801126518087,7866.399292381453,-1353.4507618877647,4119.801126518087
newton,3.0,0.25,55.0,-3665.7502850025976,-5659.475312376946,-3818.4003144955805,6738.5587567612765,-243.33484147705985,3818.4003144955805
newton,3.0,0.25,60.0,-3673.366881134055,-4729.863031276754,-4347.830480930767,5932.864982073567,816.2975208441267,4347.830480930767
newton,3.0,0.25,65.0,-2828.9934883004476,-5768.2280311622635,-4912.31249663,6423.374292546736,126.1803240688987,4912.31249663
newton,3.0,0.25,70.0,-2154.820727214197,-6391.376440291976,-4774.007387496458,6742.921371570198,-161.11034967725914,4774.007387496458
newton,3.0,0.25,75.0,-1532.3103421274936,-6127.195727855224,-4644.739567605601,6315.0076958135605,-105.73681408894913,4644.739567605601
newton,3.0,0.25,80.0,-1240.7873902140052,-5764.573184826098,-4531.954952373554,5892.456834405786,220.9294131498309,4531.954952373554
newton,3.0,0.25,85.0,-665.9228345294785,-6424.039181465334,-4749.324165686057,6457.632772165444,103.49689079582424,4749.324165686057
newton,3.0,0.25,90.0,-35.90558768098708,-6412.54409648283,-4533.372007539147,6412.54409648283,35.90558768098669,4533.372007539147
newton,3.0,0.25,95.0,-67.72534615967841,-6284.746459250063,-4535.176378360604,6254.928448708394,615.2193764073542,4535.176378360604
newton,3.0,0.25,100.0,661.7670323340758,-6661.831258802427,-4750.607045492612,6675.537712132573,505.10155388515557,4750.607045492612
newton,3.0,0.25,105.0,1261.7558646295636,-7192.851579771535,-4734.8031754956755,7274.32755360138,642.8844013232383,4734.8031754956755
newton,3.0,0.25,110.0,1798.3929868993246,-6452.035051743855,-4779.9474856570005,6678.016354310911,516.7893340772475,4779.9474856570005
newton,3.0,0.25,115.0,2243.252922407435,-6181.106228709066,-4751.91724136827,6550.024358292342,579.1707781410544,4751.91724136827
newton,3.0,0.25,120.0,2098.971780233254,-6298.992341427426,-4826.052205182699,6504.5732760364,1331.7332872050658,4826.052205182699
